order_id,order_ts,customer_id,order_status,order_amount,currency,source_system,updated_at
ORD-1001,2024-01-05 10:15:22,C001,DELIVERED,1299,INR,WEB,2024-01-05 10:20:00
ORD-1001,05-01-2024 10:15 AM,C001,delivered,1299,INR,APP,2024-01-05 10:30:00
ORD-1002,2024/01/06 22:45,,CANCELLED,-1299,INR,WEB,2024-01-07 09:00:00
ORD-1003,Jan 07 2024 18:00,C004,SHIPPED,19.99,USD,PARTNER,2024-01-08 01:00:00
ORD-1004,2024-01-08 09:10:00,C002,DELIVERED,2499,INR,WEB,2024-01-08 09:20:00
ORD-1004,08-01-2024 09:10,C002,Delivered,2499,INR,APP,2024-01-08 10:00:00
ORD-1005,2024-01-09 14:30:00,C003,SHIPPED,999,INR,WEB,2024-01-09 15:00:00
ORD-1006,2024-01-10 20:45:00,C005,DELIVERED,49.99,USD,PARTNER,2024-01-11 02:00:00
ORD-1007,10 Jan 2024 08:15,C006,DELIVERED,3499,INR,WEB,2024-01-10 08:30:00
ORD-1008,2024/01/11 11:00,C007,CANCELLED,-3499,INR,APP,2024-01-12 09:00:00
ORD-1009,2024-01-12 16:20:00,C080,DELIVERED,1299,INR,WEB,2024-01-12 16:40:00
ORD-1010,12-01-2024 18:50,C008,SHIPPED,1999,INR,WEB,2024-01-12 19:30:00
ORD-1011,2024-01-13 21:10:00,C009,DELIVERED,79.99,USD,PARTNER,2024-01-14 03:00:00
ORD-1012,Jan 14 2024 10:00,C010,DELIVERED,599,INR,APP,2024-01-14 10:45:00
ORD-1013,2024-01-15 12:25:00,C008,PENDING,899,INR,WEB,2024-01-15 12:30:00
ORD-1014,2024/01/16 07:40,C011,DELIVERED,4999,INR,APP,2024-01-16 08:10:00
ORD-1015,16-01-2024 22:15,C012,SHIPPED,249.99,USD,PARTNER,2024-01-17 04:00:00
ORD-1016,2024-01-17 13:55:00,C013,CANCELLED,-1999,INR,WEB,2024-01-18 09:00:00
ORD-1017,2024-01-18 17:30:00,C014,DELIVERED,1299,INR,APP,2024-01-18 18:00:00
ORD-1018,Jan 19 2024 19:45,C015,SHIPPED,2999,INR,WEB,2024-01-20 02:00:00
ORD-1019,2024-01-20 09:15:00,C016,DELIVERED,1599,INR,WEB,2024-01-20 09:30:00
ORD-1020,20-01-2024 11:45,C017,SHIPPED,2499,INR,APP,2024-01-20 12:10:00
ORD-1021,2024/01/21 14:00,C018,CANCELLED,-899,INR,WEB,2024-01-22 08:00:00
ORD-1022,Jan 21 2024 16:30,C019,DELIVERED,3299,INR,APP,2024-01-21 17:00:00
ORD-1023,2024-01-22 19:20,C020,DELIVERED,29.99,USD,PARTNER,2024-01-23 01:00:00
ORD-1024,22-01-2024 21:50,C021,SHIPPED,1199,INR,WEB,2024-01-22 22:30:00
ORD-1025,2024-01-23 08:05,C022,PENDING,499,INR,APP,2024-01-23 08:10:00
ORD-1026,2024/01/23 10:40,C023,DELIVERED,7999,INR,WEB,2024-01-23 11:00:00
ORD-1027,Jan 24 2024 13:15,C006,DELIVERED,999,INR,APP,2024-01-24 13:45:00
ORD-1028,2024-01-24 18:00,C024,SHIPPED,149.99,USD,PARTNER,2024-01-25 02:00:00
ORD-1029,24-01-2024 20:30,C025,CANCELLED,-2499,INR,WEB,2024-01-25 09:00:00
ORD-1030,2024-01-25 09:55,C026,DELIVERED,1099,INR,APP,2024-01-25 10:20:00
ORD-1031,2024/01/25 12:10,C027,DELIVERED,549,INR,WEB,2024-01-25 12:30:00
ORD-1032,Jan 26 2024 15:45,C028,SHIPPED,89.99,USD,PARTNER,2024-01-27 03:00:00
ORD-1033,2024-01-26 18:25,C029,DELIVERED,2199,INR,APP,2024-01-26 19:00:00
ORD-1034,26-01-2024 22:40,C030,PENDING,699,INR,WEB,2024-01-26 22:45:00
ORD-1035,2024-01-27 07:30,C031,DELIVERED,399,INR,APP,2024-01-27 07:50:00
ORD-1036,2024/01/27 11:15,C032,SHIPPED,1999,INR,WEB,2024-01-27 11:45:00
ORD-1037,Jan 28 2024 16:00,C033,DELIVERED,59.99,USD,PARTNER,2024-01-29 02:00:00
ORD-1038,2024-01-28 19:35,C034,CANCELLED,-1299,INR,APP,2024-01-29 09:00:00
ORD-1039,2024-01-29 08:10:00,C035,DELIVERED,1799,INR,WEB,2024-01-29 08:25:00
ORD-1040,29-01-2024 10:45,C036,SHIPPED,2199,INR,APP,2024-01-29 11:10:00
ORD-1041,2024/01/30 13:00,C037,CANCELLED,-999,INR,WEB,2024-01-31 09:00:00
ORD-1042,Jan 30 2024 15:20,C038,DELIVERED,5499,INR,APP,2024-01-30 15:50:00
ORD-1043,2024-01-30 18:40,C039,DELIVERED,39.99,USD,PARTNER,2024-01-31 02:00:00
ORD-1044,30-01-2024 21:05,C040,SHIPPED,1299,INR,WEB,2024-01-30 21:40:00
ORD-1045,2024-01-31 09:30,C041,PENDING,799,INR,APP,2024-01-31 09:35:00
ORD-1046,2024/01/31 11:55,C042,DELIVERED,8999,INR,WEB,2024-01-31 12:20:00
ORD-1047,Jan 31 2024 14:10,C020,DELIVERED,1199,INR,APP,2024-01-31 14:45:00
ORD-1048,2024-01-31 18:25,C043,SHIPPED,199.99,USD,PARTNER,2024-02-01 03:00:00
ORD-1049,31-01-2024 20:50,C044,CANCELLED,-3499,INR,WEB,2024-02-01 09:00:00
ORD-1050,2024-02-01 08:15,C045,DELIVERED,1499,INR,APP,2024-02-01 08:40:00
ORD-1051,2024/02/01 10:35,C046,DELIVERED,649,INR,WEB,2024-02-01 10:55:00
ORD-1052,Feb 02 2024 13:00,C047,SHIPPED,109.99,USD,PARTNER,2024-02-03 02:00:00
ORD-1053,2024-02-02 16:20,C048,DELIVERED,2799,INR,APP,2024-02-02 16:45:00
ORD-1054,02-02-2024 19:10,C049,PENDING,899,INR,WEB,2024-02-02 19:15:00
ORD-1055,2024-02-03 07:45,C050,DELIVERED,499,INR,APP,2024-02-03 08:00:00
ORD-1056,2024/02/03 11:30,C051,SHIPPED,2299,INR,WEB,2024-02-03 12:00:00
ORD-1057,Feb 04 2024 15:55,C052,DELIVERED,69.99,USD,PARTNER,2024-02-05 02:00:00
ORD-1058,2024-02-04 18:35,C053,CANCELLED,-1599,INR,APP,2024-02-05 09:00:00
ORD-1059,2024-02-05 09:10:00,C054,DELIVERED,1899,INR,WEB,2024-02-05 09:30:00
ORD-1060,05-02-2024 11:45,C055,SHIPPED,2799,INR,APP,2024-02-05 12:10:00
ORD-1061,2024/02/06 14:00,C056,CANCELLED,-1299,INR,WEB,2024-02-07 09:00:00
ORD-1062,Feb 06 2024 16:30,C057,DELIVERED,6499,INR,APP,2024-02-06 17:00:00
ORD-1063,2024-02-06 19:20,C058,DELIVERED,49.99,USD,PARTNER,2024-02-07 02:00:00
ORD-1064,06-02-2024 21:50,C059,SHIPPED,1999,INR,WEB,2024-02-06 22:30:00
ORD-1065,2024-02-07 08:05,C060,PENDING,599,INR,APP,2024-02-07 08:10:00
ORD-1066,2024/02/07 10:40,C061,DELIVERED,9499,INR,WEB,2024-02-07 11:00:00
ORD-1067,Feb 07 2024 13:15,C056,DELIVERED,1099,INR,APP,2024-02-07 13:45:00
ORD-1068,2024-02-07 18:00,C062,SHIPPED,169.99,USD,PARTNER,2024-02-08 02:00:00
ORD-1069,07-02-2024 20:30,C063,CANCELLED,-2799,INR,WEB,2024-02-08 09:00:00
ORD-1070,2024-02-08 09:55,C064,DELIVERED,1899,INR,APP,2024-02-08 10:20:00
ORD-1071,2024/02/08 12:10,C065,DELIVERED,749,INR,WEB,2024-02-08 12:30:00
ORD-1072,Feb 09 2024 15:45,C066,SHIPPED,99.99,USD,PARTNER,2024-02-10 03:00:00
ORD-1073,2024-02-09 18:25,C067,DELIVERED,2399,INR,APP,2024-02-09 19:00:00
ORD-1074,09-02-2024 22:40,C068,PENDING,799,INR,WEB,2024-02-09 22:45:00
ORD-1075,2024-02-10 07:30,C069,DELIVERED,549,INR,APP,2024-02-10 07:50:00
ORD-1076,2024/02/10 11:15,C070,SHIPPED,2599,INR,WEB,2024-02-10 11:45:00
ORD-1077,Feb 11 2024 16:00,C071,DELIVERED,79.99,USD,PARTNER,2024-02-12 02:00:00
ORD-1078,2024-02-11 19:35,C072,CANCELLED,-1899,INR,APP,2024-02-12 09:00:00
ORD-1079,2024-02-12 09:05:00,C073,DELIVERED,1999,INR,WEB,2024-02-12 09:25:00
ORD-1080,12-02-2024 11:40,C074,SHIPPED,2599,INR,APP,2024-02-12 12:05:00
ORD-1081,2024/02/13 14:10,C075,CANCELLED,-1499,INR,WEB,2024-02-14 09:00:00
ORD-1082,Feb 13 2024 16:35,C076,DELIVERED,7299,INR,APP,2024-02-13 17:00:00
ORD-1083,2024-02-13 19:50,C077,DELIVERED,59.99,USD,PARTNER,2024-02-14 02:00:00
ORD-1084,13-02-2024 22:10,C078,SHIPPED,1499,INR,WEB,2024-02-13 22:45:00
ORD-1085,2024-02-14 08:20,C079,PENDING,699,INR,APP,2024-02-14 08:25:00
ORD-1086,2024/02/14 10:55,C080,DELIVERED,10999,INR,WEB,2024-02-14 11:20:00
ORD-1087,Feb 14 2024 13:30,C056,DELIVERED,1299,INR,APP,2024-02-14 14:00:00
ORD-1088,2024-02-14 18:10,C081,SHIPPED,189.99,USD,PARTNER,2024-02-15 02:00:00
ORD-1089,14-02-2024 20:55,C082,CANCELLED,-2999,INR,WEB,2024-02-15 09:00:00
ORD-1090,2024-02-15 09:10,C083,DELIVERED,1799,INR,APP,2024-02-15 09:40:00
ORD-1091,2024/02/15 11:35,C084,DELIVERED,849,INR,WEB,2024-02-15 11:55:00
ORD-1092,Feb 16 2024 15:05,C085,SHIPPED,119.99,USD,PARTNER,2024-02-17 03:00:00
ORD-1093,2024-02-16 18:30,C086,DELIVERED,2699,INR,APP,2024-02-16 19:00:00
ORD-1094,16-02-2024 22:50,C087,PENDING,899,INR,WEB,2024-02-16 22:55:00
ORD-1095,2024-02-17 07:45,C088,DELIVERED,599,INR,APP,2024-02-17 08:05:00
ORD-1096,2024/02/17 11:20,C089,SHIPPED,2799,INR,WEB,2024-02-17 11:45:00
ORD-1097,Feb 18 2024 16:15,C090,DELIVERED,89.99,USD,PARTNER,2024-02-19 02:00:00
ORD-1098,2024-02-18 19:40,C091,CANCELLED,-1999,INR,APP,2024-02-19 09:00:00
ORD-1099,2021-02-14 09:12:00,C056,DELIVERED,799,INR,WEB,2021-02-14 09:12:00
ORD-1100,2021-07-29 21:45:00,C002,SHIPPED,1599,INR,APP,2021-07-29 21:45:00
ORD-1101,2021-11-05 10:30:00,C003,PROCESSING,999,INR,WEB,2021-11-05 10:30:00
ORD-1102,2022-01-18 19:10:00,C004,DELIVERED,349,INR,APP,2022-01-18 19:10:00
ORD-1103,2022-04-02 06:55:00,C005,CANCELLED,-599,INR,WEB,2022-04-02 06:55:00
ORD-1104,2022-06-21 14:40:00,C056,DELIVERED,2199,INR,WEB,2022-06-21 14:40:00
ORD-1105,2022-09-09 09:25:00,C003,SHIPPED,649,INR,APP,2022-09-09 09:25:00
ORD-1106,2022-12-17 23:50:00,C002,DELIVERED,129,INR,WEB,2022-12-17 23:50:00
ORD-1107,2023-02-10 16:15:00,C005,PROCESSING,2599,INR,APP,2023-02-10 16:15:00
